interaction_histogram,mse,interaction_spread,inter_cluster_interaction_similarity_USER:TOPIC,intra_cluster_interaction_similarity_USER:TOPIC,inter_cluster_rec_similarity_USER:TOPIC,intra_cluster_rec_similarity_USER:TOPIC,inter_cluster_interaction_similarity_USER:USER,intra_cluster_interaction_similarity_USER:USER,inter_cluster_rec_similarity_USER:USER,intra_cluster_rec_similarity_USER:USER,intra_user_to_topic_cluster_cos_sim,intra_user_cluster_cos_sim,user_cluster_avg_distance_from_centroid,timesteps,state,model
[0. 0. 1. ... 0. 0. 0.],1.2762024201693307,5.0,0.02098229308601001,0.021269824518991922,0.016882408655389897,0.01843447210275599,0.020992678420828793,0.021644260001275017,0.0180370308122268,0.018755999518916957,"[[0.96008079]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.90401852]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.70284459]]","[[0.70964192]
 [0.85994592]
 [0.8685396 ]
 [0.        ]
 [1.0241056 ]
 [0.84703555]
 [0.91884463]
 [0.84253742]
 [1.01560976]
 [0.78397333]]","[[0.24132161]
 [1.11965926]
 [1.45056937]
 [7.6986882 ]
 [2.5246829 ]
 [1.12898188]
 [1.83643975]
 [1.00495604]
 [3.36964599]
 [0.52721439]]",20,run,myopic
[0. 0. 2. ... 0. 0. 4.],1.2788772954984735,-4.5,0.021718210574057456,0.021962217985566107,0.01886909885116734,0.018497447851856984,0.021692959794521224,0.02233267666030822,0.018318430784490566,0.018844662394107176,"[[0.96699839]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.90550631]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.72018572]]","[[0.72601459]
 [0.86940981]
 [0.87633362]
 [0.        ]
 [1.02211286]
 [0.85848307]
 [0.9204609 ]
 [0.84854339]
 [1.02892618]
 [0.7900092 ]]","[[0.24212392]
 [1.12815197]
 [1.47387436]
 [8.03847203]
 [2.57700259]
 [1.14242573]
 [1.86784974]
 [1.02292467]
 [3.43538064]
 [0.53381135]]",21,run,myopic
[1. 0. 1. ... 2. 0. 1.],1.2815000162560852,0.0,0.022401003441818362,0.02261226024804011,0.018013863195986555,0.01859164821290123,0.022368833768635302,0.022948944088301674,0.018481041423292623,0.018653559779183274,"[[0.97155216]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.90528419]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.73373161]]","[[0.73893936]
 [0.87236676]
 [0.88124929]
 [0.        ]
 [1.02172719]
 [0.86030653]
 [0.9215365 ]
 [0.84379084]
 [1.04753903]
 [0.7967638 ]]","[[0.24306605]
 [1.14398032]
 [1.49726809]
 [8.33249364]
 [2.6472716 ]
 [1.15278276]
 [1.89435559]
 [1.04770212]
 [3.47577894]
 [0.5401809 ]]",22,run,myopic
[0. 0. 0. ... 1. 0. 6.],1.2841159079153228,2.5,0.023049116937270315,0.023192158608297375,0.016864802130153317,0.017976610252001923,0.02295486798183322,0.023532243436367867,0.017817270632579946,0.01801297738932057,"[[0.98475122]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.90512064]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.74605989]]","[[0.74996374]
 [0.88225453]
 [0.88417673]
 [0.        ]
 [1.01772016]
 [0.86283124]
 [0.92150177]
 [0.84897034]
 [1.05122923]
 [0.80289379]]","[[0.24417902]
 [1.15225472]
 [1.51518246]
 [8.64554424]
 [2.71253414]
 [1.17012765]
 [1.92369646]
 [1.06298384]
 [3.54524387]
 [0.54536539]]",23,run,myopic
[0. 0. 2. ... 0. 0. 4.],1.2867613094696306,-4.0,0.023704288033279352,0.023668650854639997,0.0182560409355624,0.018060671677216016,0.023447951676274673,0.02401684022880605,0.017902033557216916,0.01834303627937823,"[[0.98488447]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.89784148]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.75544906]]","[[0.75883698]
 [0.89006549]
 [0.88492005]
 [0.        ]
 [1.00387483]
 [0.8616502 ]
 [0.92618188]
 [0.84869584]
 [1.05372677]
 [0.8041351 ]]","[[0.24563955]
 [1.16180732]
 [1.53408957]
 [8.91653656]
 [2.76623808]
 [1.18740953]
 [1.95673406]
 [1.07980985]
 [3.59156232]
 [0.55209853]]",24,run,myopic
[0. 0. 2. ... 0. 0. 5.],1.2892179821798684,2.0,0.024124159587584036,0.024189717058062513,0.017671576466527297,0.01843399156372104,0.023967266795226785,0.024521487789082284,0.01814874430187395,0.01873119815362851,"[[0.97445877]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.88893584]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.76444225]]","[[0.76699067]
 [0.89100947]
 [0.88301259]
 [0.        ]
 [0.99100813]
 [0.86474031]
 [0.93448622]
 [0.84703562]
 [1.05715108]
 [0.80577126]]","[[0.24694391]
 [1.18220466]
 [1.55570021]
 [9.09866646]
 [2.80982809]
 [1.20612498]
 [1.98500051]
 [1.09676697]
 [3.62052174]
 [0.55740376]]",25,run,myopic
[0. 0. 1. ... 0. 0. 7.],1.292271524798506,-1.0,0.024452132465410885,0.024640592630561044,0.018771174279821595,0.018015681817975356,0.02442813833332723,0.024933667093193942,0.01801138350200951,0.01816513518075406,"[[0.97684913]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.87966939]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.77011762]]","[[0.77233764]
 [0.89499388]
 [0.87980435]
 [0.        ]
 [0.98065342]
 [0.86381563]
 [0.93822459]
 [0.84813792]
 [1.05071081]
 [0.80546138]]","[[0.24827733]
 [1.19146901]
 [1.57409368]
 [9.27555261]
 [2.84154351]
 [1.21964036]
 [2.0294424 ]
 [1.10900073]
 [3.70291286]
 [0.56424775]]",26,run,myopic
[0. 0. 2. ... 0. 0. 1.],1.2948360293738361,1.0,0.024837205303316907,0.025097722260003293,0.01798211642792935,0.01857097854858067,0.024848727442467862,0.02543370995866428,0.018301837228083172,0.01887607194005544,"[[0.97688952]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.87953843]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.77569245]]","[[0.77741137]
 [0.89292454]
 [0.87953993]
 [0.        ]
 [0.9731457 ]
 [0.86206349]
 [0.94072395]
 [0.84964486]
 [1.0394295 ]
 [0.80591859]]","[[0.24944575]
 [1.20513746]
 [1.59578587]
 [9.47896897]
 [2.89106758]
 [1.23987379]
 [2.06073017]
 [1.11784946]
 [3.74421967]
 [0.57110639]]",27,run,myopic
[0. 0. 1. ... 0. 0. 2.],1.297306427920133,0.0,0.0250747273405545,0.025438046594657943,0.017067560268837153,0.01873227419775843,0.025164803001308494,0.02579211892239604,0.018277470804223046,0.019121255797062406,"[[0.971267  ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.88217966]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.78041854]]","[[0.78119839]
 [0.89181022]
 [0.88234935]
 [0.        ]
 [0.96371859]
 [0.86442556]
 [0.95049628]
 [0.84848492]
 [1.03678429]
 [0.80575115]]","[[0.25080511]
 [1.22312592]
 [1.61569022]
 [9.63947169]
 [2.91618548]
 [1.24626718]
 [2.0810108 ]
 [1.1295302 ]
 [3.80808009]
 [0.57815542]]",28,run,myopic
[0. 0. 0. ... 0. 1. 2.],1.299596875133419,-1.0,0.02540758124162205,0.025763643570502665,0.018108069338475283,0.018631736304624103,0.025510570313140343,0.026087881204868914,0.018634334726310143,0.018528732597613225,"[[0.97551871]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.88336675]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.78474435]]","[[0.785758  ]
 [0.89042115]
 [0.88395554]
 [0.        ]
 [0.96187657]
 [0.8698605 ]
 [0.94758968]
 [0.84767816]
 [1.0271037 ]
 [0.80591113]]","[[0.2520981 ]
 [1.23492488]
 [1.63746551]
 [9.82879087]
 [2.96788813]
 [1.25734795]
 [2.1033412 ]
 [1.14559314]
 [3.85873332]
 [0.58401192]]",29,run,myopic
[1. 0. 0. ... 0. 0. 2.],1.3024191513233228,1.0,0.025502175486932146,0.02592914679274626,0.016435463605243446,0.018233869227235314,0.02568486439254258,0.026226380491130862,0.018052948239613856,0.0181738451107948,"[[0.96115467]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.88179478]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.78634173]]","[[0.7867968 ]
 [0.88773118]
 [0.88043775]
 [0.        ]
 [0.95916141]
 [0.86316129]
 [0.95140491]
 [0.84390479]
 [1.0201618 ]
 [0.80622714]]","[[0.25365309]
 [1.24499154]
 [1.66218731]
 [9.98243319]
 [2.97553132]
 [1.27021   ]
 [2.12205512]
 [1.16267532]
 [3.88771553]
 [0.58914426]]",30,run,myopic
[0. 0. 0. ... 0. 0. 3.],1.3050798731654079,-1.5,0.02556383153442776,0.026111192092637743,0.017046878382787914,0.018295284776038576,0.02583857321293479,0.026429510395169786,0.01778730033134807,0.018845235564129256,"[[0.96549215]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.88362706]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.78780455]]","[[0.78715959]
 [0.88637236]
 [0.87808796]
 [0.        ]
 [0.95118359]
 [0.85980251]
 [0.94876085]
 [0.83920252]
 [1.0213482 ]
 [0.80951431]]","[[ 0.25500985]
 [ 1.26322631]
 [ 1.6782341 ]
 [10.14278661]
 [ 3.03620863]
 [ 1.28658378]
 [ 2.1424896 ]
 [ 1.17275045]
 [ 3.93171645]
 [ 0.59391547]]",31,run,myopic
[0. 0. 0. ... 2. 0. 5.],1.3074239888161865,1.0,0.0257473368308819,0.026299504967565637,0.017391029430390392,0.01828716937191476,0.026057911096044,0.02656891441099148,0.0180192611590969,0.018532273288150432,"[[0.96835582]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.88394045]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.78951288]]","[[0.78938179]
 [0.88586662]
 [0.87600441]
 [0.        ]
 [0.95383682]
 [0.86369882]
 [0.94493835]
 [0.84051224]
 [1.01052945]
 [0.8083883 ]]","[[ 0.25596859]
 [ 1.26844137]
 [ 1.68872568]
 [10.31812619]
 [ 3.05523755]
 [ 1.29225171]
 [ 2.16495977]
 [ 1.18669723]
 [ 3.98129579]
 [ 0.59883818]]",32,run,myopic
[1. 0. 1. ... 0. 0. 1.],1.310020234638077,-0.5,0.025933275391932867,0.026467960672104503,0.017776302167716678,0.01794523173837769,0.02623850704466548,0.026721892030626263,0.017655790498248516,0.018361107700352902,"[[0.96099789]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.8788027 ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.79048178]]","[[0.79132744]
 [0.88405566]
 [0.86913116]
 [0.        ]
 [0.95099528]
 [0.8583507 ]
 [0.94023609]
 [0.84162607]
 [1.00614518]
 [0.80510728]]","[[ 0.25696141]
 [ 1.27593146]
 [ 1.70431032]
 [10.47100684]
 [ 3.08805257]
 [ 1.29929427]
 [ 2.18347735]
 [ 1.19249411]
 [ 4.01995246]
 [ 0.60455822]]",33,run,myopic
